Region,ZIP,POSTAL,STATE,ZIP_TYPE,TotalConfirmedCases,ActiveCases,Recovered,Death
E,77520,BAYTOWN,TX,STANDARD,256,105,147,4
E,77503,PASADENA,TX,STANDARD,247,114,132,1
E,77562,HIGHLANDS,TX,STANDARD,39,12,26,1
E,77536,DEER PARK,TX,STANDARD,273,123,148,2
E,77506,PASADENA,TX,STANDARD,420,197,217,6
E,77011,HOUSTON,TX,STANDARD,316,265,46,5
E,77547,GALENA PARK,TX,STANDARD,110,44,66,0
E,77020,HOUSTON,TX,STANDARD,488,420,64,4
E,77029,HOUSTON,TX,STANDARD,239,163,66,10
E,77530,CHANNELVIEW,TX,STANDARD,265,102,159,4
E,77015,HOUSTON,TX,STANDARD,521,267,250,4
E,77049,HOUSTON,TX,STANDARD,274,131,141,2
E,77013,HOUSTON,TX,STANDARD,250,210,38,2
E,77523,BAYTOWN,TX,STANDARD,6,2,4,0
E,77521,BAYTOWN,TX,STANDARD,407,159,242,6
E,77571,LA PORTE,TX,STANDARD,285,116,162,7
NE,77357,NEW CANEY,TX,STANDARD,1,1,0,0
NE,77535,DAYTON,TX,STANDARD,2,0,2,0
NE,77336,HUFFMAN,TX,STANDARD,32,16,16,0
NE,77396,HUMBLE,TX,STANDARD,543,213,326,4
NE,77078,HOUSTON,TX,STANDARD,239,196,42,1
NE,77044,HOUSTON,TX,STANDARD,427,211,213,3
NE,77532,CROSBY,TX,STANDARD,197,118,77,2
NE,77338,HUMBLE,TX,STANDARD,445,144,280,21
NE,77050,HOUSTON,TX,STANDARD,36,18,18,0
NE,77365,PORTER,TX,STANDARD,4,2,2,0
NE,77339,KINGWOOD,TX,STANDARD,136,94,28,14
NE,77345,KINGWOOD,TX,STANDARD,46,39,7,0
NE,77346,HUMBLE,TX,STANDARD,448,196,250,2
NW,77484,WALLER,TX,STANDARD,17,4,13,0
NW,77447,HOCKLEY,TX,STANDARD,104,45,59,0
NW,77355,MAGNOLIA,TX,STANDARD,0,0,0,0
NW,77377,TOMBALL,TX,STANDARD,193,60,132,1
NW,77064,HOUSTON,TX,STANDARD,422,163,245,14
NW,77040,HOUSTON,TX,STANDARD,509,323,182,4
NW,77065,HOUSTON,TX,STANDARD,238,91,147,0
NW,77095,HOUSTON,TX,STANDARD,493,198,292,3
NW,77433,CYPRESS,TX,STANDARD,696,315,375,6
NW,77429,CYPRESS,TX,STANDARD,544,224,318,2
NW,77362,PINEHURST,TX,STANDARD,0,0,0,0
N,77386,SPRING,TX,STANDARD,4,2,2,0
N,77354,MAGNOLIA,TX,STANDARD,2,0,2,0
N,77009,HOUSTON,TX,STANDARD,581,493,85,3
N,77028,HOUSTON,TX,STANDARD,277,208,65,4
N,77032,HOUSTON,TX,STANDARD,236,105,130,1
N,77069,HOUSTON,TX,STANDARD,75,33,42,0
N,77070,HOUSTON,TX,STANDARD,304,128,174,2
N,77375,TOMBALL,TX,STANDARD,338,147,188,3
