Region,ZIP,POSTAL,STATE,EDITOR,DATE_MOD,code,ZIP_TYPE,TotalConfirmedCases,ActiveCases,Recovered,Death
E,77535,DAYTON,TX,Brian Klinger,2011-05-26,LB,STANDARD,2,0,2,0
E,77562,HIGHLANDS,TX,Brian Klinger,2011-07-08,HA,STANDARD,10,1,8,1
E,77009,HOUSTON,TX,Brian Klinger,2011-07-11,HA,STANDARD,106,76,28,2
E,77028,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,104,64,38,2
E,77020,HOUSTON,TX,Brian Klinger,2011-06-14,HA,STANDARD,104,73,29,2
E,77029,HOUSTON,TX,Brian Klinger,2011-06-16,HA,STANDARD,81,42,33,6
E,77078,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,74,49,24,1
E,77044,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,191,89,100,2
E,77530,CHANNELVIEW,TX,Brian Klinger,2011-06-17,HA,STANDARD,102,43,59,0
E,77015,HOUSTON,TX,Brian Klinger,2011-06-16,HA,STANDARD,184,85,97,2
E,77532,CROSBY,TX,Brian Klinger,2011-07-08,HA,STANDARD,41,10,31,0
E,77049,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,77,29,46,2
E,77013,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,63,47,15,1
E,77050,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,15,5,10,0
E,77016,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,120,74,41,5
E,77026,HOUSTON,TX,Brian Klinger,2011-06-14,HA,STANDARD,119,90,27,2
E,77093,HOUSTON,TX,Brian Klinger,2011-07-08,HA,STANDARD,178,108,70,0
E,77521,BAYTOWN,TX,Brian Klinger,2011-07-08,HA,STANDARD,153,56,92,5
NE,77386,SPRING,TX,Ayuna Tsydypova,2011-06-07,MO,STANDARD,3,3,0,0
NE,77357,NEW CANEY,TX,Brian Klinger,2011-05-26,MO,STANDARD,0,0,0,0
NE,77535,DAYTON,TX,Brian Klinger,2011-05-26,LB,STANDARD,2,0,2,0
NE,77336,HUFFMAN,TX,Brian Klinger,2011-07-07,HA,STANDARD,6,5,1,0
NE,77396,HUMBLE,TX,Brian Klinger,2011-06-17,HA,STANDARD,219,94,124,1
NE,77044,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,191,89,100,2
NE,77532,CROSBY,TX,Brian Klinger,2011-07-08,HA,STANDARD,41,10,31,0
NE,77338,HUMBLE,TX,Brian Klinger,2011-06-17,HA,STANDARD,228,90,120,18
NE,77365,PORTER,TX,Ayuna Tsydypova,2011-06-08,MO,STANDARD,3,2,1,0
NE,77339,KINGWOOD,TX,Brian Klinger,2011-06-20,HA,STANDARD,73,52,16,5
NE,77345,KINGWOOD,TX,Brian Klinger,2011-06-20,HA,STANDARD,17,11,5,1
NE,77346,HUMBLE,TX,Brian Klinger,2011-07-08,HA,STANDARD,154,44,109,1
NW,77069,HOUSTON,TX,Ayuna Tsydypova,2011-06-14,HA,STANDARD,44,27,17,0
NW,77377,TOMBALL,TX,Brian Klinger,2011-07-07,HA,STANDARD,84,27,56,1
NW,77070,HOUSTON,TX,Brian Klinger,2011-07-08,HA,STANDARD,145,70,73,2
NW,77375,TOMBALL,TX,Ayuna Tsydypova,2011-06-06,HA,STANDARD,115,38,76,1
NW,77379,SPRING,TX,Brian Klinger,2011-07-07,HA,STANDARD,147,49,96,2
NW,77064,HOUSTON,TX,Ayuna Tsydypova,2011-06-15,HA,STANDARD,196,84,107,5
NW,77066,HOUSTON,TX,Ayuna Tsydypova,2011-06-15,HA,STANDARD,119,45,73,1
NW,77065,HOUSTON,TX,Ayuna Tsydypova,2011-06-15,HA,STANDARD,92,38,54,0
NW,77041,HOUSTON,TX,Wenge Fu,2012-02-16,HA,STANDARD,159,83,73,3
NW,77429,CYPRESS,TX,Ayuna Tsydypova,2011-06-08,HA,STANDARD,190,62,127,1
N,77386,SPRING,TX,Ayuna Tsydypova,2011-06-07,MO,STANDARD,3,3,0,0
N,77028,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,104,64,38,2
N,77032,HOUSTON,TX,Brian Klinger,2011-07-08,HA,STANDARD,130,80,49,1
N,77396,HUMBLE,TX,Brian Klinger,2011-06-17,HA,STANDARD,219,94,124,1
N,77078,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,74,49,24,1
N,77044,HOUSTON,TX,Brian Klinger,2011-06-17,HA,STANDARD,191,89,100,2
N,77069,HOUSTON,TX,Ayuna Tsydypova,2011-06-14,HA,STANDARD,44,27,17,0
N,77375,TOMBALL,TX,Ayuna Tsydypova,2011-06-06,HA,STANDARD,115,38,76,1
N,77379,SPRING,TX,Brian Klinger,2011-07-07,HA,STANDARD,147,49,96,2
N,77338,HUMBLE,TX,Brian Klinger,2011-06-17,HA,STANDARD,228,90,120,18
N,77076,HOUSTON,TX,Ayuna Tsydypova,2011-06-17,HA,STANDARD,129,92,36,1
N,77037,HOUSTON,TX,Ayuna Tsydypova,2011-06-17,HA,STANDARD,84,49,35,0
N,77064,HOUSTON,TX,Ayuna Tsydypova,2011-06-15,HA,STANDARD,196,84,107,5
N,77066,HOUSTON,TX,Ayuna Tsydypova,2011-06-15,HA,STANDARD,119,45,73,1
N,77086,HOUSTON,TX,Ayuna Tsydypova,2011-06-13,HA,STANDARD,148,76,72,0
N,77038,HOUSTON,TX,Ayuna Tsydypova,2011-06-16,HA,STANDARD,130,67,60,3
N,77068,HOUSTON,TX,Ayuna Tsydypova,2011-06-14,HA,STANDARD,24,6,18,0
N,77014,HOUSTON,TX,Ayuna Tsydypova,2011-06-10,HA,STANDARD,120,33,82,5
N,77388,SPRING,TX,Ayuna Tsydypova,2011-06-13,HA,STANDARD,94,34,60,0
N,77373,SPRING,TX,Ayuna Tsydypova,2011-06-20,HA,STANDARD,186,56,124,6
N,77067,HOUSTON,TX,Ayuna Tsydypova,2011-06-15,HA,STANDARD,164,72,89,3
N,77090,HOUSTON,TX,Ayuna Tsydypova,2011-06-08,HA,STANDARD,138,52,82,4
N,77060,HOUSTON,TX,Ayuna Tsydypova,2011-06-17,HA,STANDARD,141,91,49,1
N,77073,HOUSTON,TX,Ayuna Tsydypova,2011-06-17,HA,STANDARD,208,85,122,1
N,77088,HOUSTON,TX,Ayuna Tsydypova,2011-06-13,HA,STANDARD,260,168,89,3
