From_ID,To_ID,NearRank,From_PERIMETER,From_POLYID,From_SNBNAME,From_GLOBALID,From_AREA,From_LEN,From_COUNCIL_ACTIVE,From_RECOGNITION_DATE,From_SnbrInfoURL,From_WeCan,From_Top10,From_CEA_FLAG,To_Name,To_ADDRNO,To_PREFIX,To_STNAME,To_STTYPE,To_SUFFIX,To_CITY,To_ZIP,To_ADMIN,Total_Miles
1,52,1,16572.025,60,FOURTH WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,,,http://www.houstontx.gov/superneighborhoods/60.html,Y,,N,SCCI HOSPITAL,105, ,DREW ST, , ,HOUSTON,77006,2,0.33000984
1,92,2,16572.025,60,FOURTH WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,,,http://www.houstontx.gov/superneighborhoods/60.html,Y,,N,DUBUIS HOSPITAL FOR CONTINUING CARE,1919, ,LA BRANCH, , ,HOUSTON,77002,2,2.31951245
1,12,3,16572.025,60,FOURTH WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,,,http://www.houstontx.gov/superneighborhoods/60.html,Y,,N,CHRISTUS ST JOSEPH HOSPITAL,1919, ,LA BRANCH, , ,HOUSTON,77002,2,2.34238927
1,63,4,16572.025,60,FOURTH WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,,,http://www.houstontx.gov/superneighborhoods/60.html,Y,,N,DEPELCHIN CHILDRENS HOSPITAL,3214, ,AUSTIN, , ,HOUSTON,77004,2,2.92335369
1,51,5,16572.025,60,FOURTH WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,,,http://www.houstontx.gov/superneighborhoods/60.html,Y,,N,HEALTHSOUTH HOSPITAL AND DIAGNOSTIC CENTER,5445, ,LA BRANCH, , ,HOUSTON,77004,2,5.84803912
2,14,1,43118.77,63,SECOND WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2008-05-13 00:00:00,http://www.houstontx.gov/superneighborhoods/63.html,Y,Y,Y,HOUSTON RECOVERY,4514, ,LYONS,AVE, ,HOUSTON,77020,2,3.62739511
2,92,2,43118.77,63,SECOND WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2008-05-13 00:00:00,http://www.houstontx.gov/superneighborhoods/63.html,Y,Y,Y,DUBUIS HOSPITAL FOR CONTINUING CARE,1919, ,LA BRANCH, , ,HOUSTON,77002,2,3.72250588
2,12,3,43118.77,63,SECOND WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2008-05-13 00:00:00,http://www.houstontx.gov/superneighborhoods/63.html,Y,Y,Y,CHRISTUS ST JOSEPH HOSPITAL,1919, ,LA BRANCH, , ,HOUSTON,77002,2,3.73998333
2,13,4,43118.77,63,SECOND WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2008-05-13 00:00:00,http://www.houstontx.gov/superneighborhoods/63.html,Y,Y,Y,RIVERSIDE GENERAL HOSPITAL,3204, ,ENNIS ST, , ,HOUSTON,77004,2,4.85559242
2,63,5,43118.77,63,SECOND WARD,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2008-05-13 00:00:00,http://www.houstontx.gov/superneighborhoods/63.html,Y,Y,Y,DEPELCHIN CHILDRENS HOSPITAL,3214, ,AUSTIN, , ,HOUSTON,77004,2,5.85266358
3,52,2,39256.388,61,DOWNTOWN,{00000000-0000-0000-0000-000000000000},0.0,0.0,,,http://www.houstontx.gov/superneighborhoods/61.html,,,N,SCCI HOSPITAL,105, ,DREW ST, , ,HOUSTON,77006,2,1.76771697
3,63,3,39256.388,61,DOWNTOWN,{00000000-0000-0000-0000-000000000000},0.0,0.0,,,http://www.houstontx.gov/superneighborhoods/61.html,,,N,DEPELCHIN CHILDRENS HOSPITAL,3214, ,AUSTIN, , ,HOUSTON,77004,2,2.24903627
3,13,4,39256.388,61,DOWNTOWN,{00000000-0000-0000-0000-000000000000},0.0,0.0,,,http://www.houstontx.gov/superneighborhoods/61.html,,,N,RIVERSIDE GENERAL HOSPITAL,3204, ,ENNIS ST, , ,HOUSTON,77004,2,2.47707108
4,64,1,59784.698,59,CLINTON PARK TRI-COMMUNITY,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2000-11-20 00:00:00,http://www.houstontx.gov/superneighborhoods/59.html,Y,,Y,DEATON HOSPITAL,206,N,MAIN, , ,GALENA PARK,77547,2,2.10424488
4,15,2,59784.698,59,CLINTON PARK TRI-COMMUNITY,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2000-11-20 00:00:00,http://www.houstontx.gov/superneighborhoods/59.html,Y,,Y,DOCTOR'S HOSPITAL - EAST LOOP,9339,N,LOOP, ,E,HOUSTON,77029,2,3.40741611
4,89,3,59784.698,59,CLINTON PARK TRI-COMMUNITY,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2000-11-20 00:00:00,http://www.houstontx.gov/superneighborhoods/59.html,Y,,Y,BRILELA McCREA WOMAN'S PLACE,12605, ,EAST FREEWAY, , ,HOUSTON,77015,2,8.0691435
4,14,4,59784.698,59,CLINTON PARK TRI-COMMUNITY,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2000-11-20 00:00:00,http://www.houstontx.gov/superneighborhoods/59.html,Y,,Y,HOUSTON RECOVERY,4514, ,LYONS,AVE, ,HOUSTON,77020,2,10.078537
4,96,5,59784.698,59,CLINTON PARK TRI-COMMUNITY,{00000000-0000-0000-0000-000000000000},0.0,0.0,Yes,2000-11-20 00:00:00,http://www.houstontx.gov/superneighborhoods/59.html,Y,,Y,KINDRED BAY AREA HOSPITAL,1004, ,SEYMOUR,DR, ,PASADENA,77506,2,11.52101439
