IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK
1,2,16910.9254,11
1,3,6877.392423,3
1,4,37592.13923,39
1,5,30094.88607,27
1,6,53227.93026,61
1,7,56672.89771,65
1,8,41076.95498,43
1,9,91010.64651,84
1,10,12990.02332,5
1,11,17750.1085,14
1,12,27750.09974,24
1,13,34345.68562,30
1,14,51443.94508,60
1,15,23304.05517,17
1,16,15541.6227,7
1,17,24836.40968,19
1,18,54228.00044,63
1,19,15776.31309,8
1,20,34843.54357,34
1,21,56670.04472,64
1,22,46254.06507,49
1,23,46952.05934,50
1,24,56935.32508,66
1,25,38968.07131,40
1,26,43080.15036,48
1,27,26645.6661,22
1,28,33142.06407,29
1,29,34627.90288,31
1,30,64491.97066,75
1,31,34698.45382,32
1,32,49999.21034,57
1,33,42698.71119,46
1,34,35280.55967,35
1,35,50225.62008,58
1,36,49431.30958,54
1,37,88130.97206,83
1,38,67306.39055,77
1,39,80631.5803,81
1,40,121493.2035,87
1,41,110249.8664,86
1,42,53600.94971,62
1,43,63908.05077,73
1,44,49690.42749,56
1,45,61289.25942,70
1,46,68342.43447,78
1,47,61702.36258,72
1,48,77659.18547,80
1,49,47158.21276,51
1,50,59205.06884,68
1,51,48926.87862,52
1,52,35925.87353,38
1,53,70159.75597,79
1,54,34712.72703,33
1,55,101570.9654,85
1,56,49508.24486,55
1,57,39328.49224,42
1,58,50873.76629,59
1,59,32843.18781,28
1,60,35654.11389,36
1,61,25558.62639,20
1,62,24740.92277,18
1,63,41168.60651,44
1,64,49318.97113,53
1,65,18072.18385,15
1,66,35858.27635,37
1,67,17535.7912,12
1,68,27162.24242,23
1,69,39089.45507,41
1,70,16340.02042,9
1,71,60006.22683,69
1,72,11372.85243,4
1,73,26560.96957,21
1,74,19227.78299,16
1,75,13332.4814,6
1,76,42820.70251,47
1,77,16868.31238,10
1,78,5672.795066,1
1,79,28540.38916,26
1,80,41784.63673,45
1,81,64126.50674,74
1,82,28388.36274,25
1,83,17728.68967,13
1,84,61506.0747,71
1,85,6555.127723,2
1,86,64873.23343,76
1,87,59032.02886,67
1,88,81577.96667,82
2,1,16910.9254,10
2,3,10103.30452,3
2,4,20717.36986,17
2,5,46901.42578,49
2,6,66156.69201,66
2,7,46869.78827,48
2,8,30302.89565,29
2,9,107657.1034,86
2,10,29628.69259,27
2,11,9729.155873,2
2,12,12152.70066,6
2,13,19406.97148,13
2,14,35608.22791,36
2,15,38713.37877,39
2,16,27734.01885,24
2,17,18900.94641,12
2,18,49112.37805,50
2,19,19707.21273,15
2,20,50992.58538,54
2,21,73029.62225,70
2,22,32731.95759,31
2,23,63249.98128,62
2,24,43189.96639,44
2,25,28649.75703,25
2,26,58528.4756,59
2,27,35715.96655,38
2,28,46718.42829,47
2,29,28759.57385,26
2,30,80036.99959,78
2,31,35055.9259,35
2,32,40227.61327,41
2,33,53597.76067,55
2,34,41239.04105,43
2,35,58440.35295,58
2,36,45012.15587,45
2,37,100476.6155,84
2,38,73654.31329,71
2,39,80811.36622,79
2,40,116582.6468,87
2,41,101735.3245,85
2,42,68630.09043,67
2,43,80017.8513,77
2,44,64832.62813,64
2,45,75586.27147,72
2,46,76301.33737,75
2,47,71983.85917,69
2,48,64844.16144,65
2,49,45492.22065,46
2,50,71898.57642,68
2,51,54983.41506,57
2,52,35713.44166,37
2,53,85337.16491,81
2,54,20364.59071,16
2,55,87712.27702,82
2,56,60418.35725,61
2,57,49203.93837,51
2,58,64711.25119,63
2,59,40310.87278,42
2,60,30096.15273,28
2,61,31272.74417,30
2,62,22393.23038,19
2,63,26817.61632,22
2,64,34356.86206,33
2,65,25841.84752,21
2,66,50759.01641,53
2,67,18243.84421,11
2,68,16389.13079,9
2,69,22955.6114,20
2,70,27684.19952,23
2,71,76263.90767,74
2,72,19599.13405,14
2,73,12155.04558,7
2,74,34427.48009,34
2,75,11919.71148,5
2,76,59051.13502,60
2,77,5827.048505,1
2,78,15369.45609,8
2,79,39344.93379,40
2,80,54190.0939,56
2,81,50753.31883,52
2,82,11704.43911,4
2,83,34192.02708,32
2,84,78205.98061,76
2,85,22051.10043,18
2,86,81772.20768,80
2,87,75834.8756,73
2,88,98386.34237,83
3,1,6877.392423,1
3,2,10103.30452,3
3,4,30730.62373,29
3,5,36969.93595,40
3,6,57717.72924,64
3,7,52877.52433,59
3,8,36721.73701,39
3,9,97866.12961,85
3,10,19539.87603,12
3,11,11969.83455,6
3,12,20967.65486,17
3,13,27725.13903,24
3,14,44702.59595,47
3,15,29026.24904,27
3,16,19123.01412,11
3,17,20374.01275,13
3,18,52268.724,57
3,19,14631.23671,9
3,20,41076.12923,43
3,21,63058.0102,67
3,22,40055.32137,42
3,23,53294.30304,60
3,24,50730.85047,55
3,25,33601.03466,34
3,26,48901.3528,53
3,27,28846.13668,25
3,28,37858.16511,41
3,29,30613.44409,28
3,30,70401.97505,76
3,31,33086.17023,32
3,32,44951.45572,48
3,33,46091.45325,49
3,34,36166.36463,38
3,35,52386.37966,58
3,36,46246.63473,50
3,37,92428.9389,83
3,38,68743.39881,74
3,39,79521.75603,81
3,40,118525.1387,87
3,41,105921.3017,86
3,42,59206.83287,66
3,43,70145.38404,75
3,44,56034.6559,62
3,45,67333.94252,72
3,46,71856.79041,78
3,47,66135.87384,70
3,48,72760.82259,79
3,49,46493.22351,51
