Join_Count,TARGET_FID,JOIN_FID,Shape_Leng,ZipCode,City,Pop2018,FYpop,Pop2019,STATE,COUNTY,LOCATION,SPL_THEMES,RPL_THEMES,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,Shape_Length_1,Shape_Area_1
1,13,700,25285.27166,77014,Houston,33924,37343,33388,TEXAS,Harris,"Census Tract 5504.01, Harris County, Texas",10.3639,0.9133,3.85208174,14904,1396,5356,89,4911,205,2656,874,679,265,21344,2720,1792,486,583,146,4798,841,1665,423,878,245.4,13822,1433.3,1984,540.2,1724,275.5,599,139,202,126.2,596,194,7,10,18,6.1,8.7,3.6,21344,2720,21.1,5.2,3.9,0.9,32.2,4.8,11.2,2.7,17.9,4.9,92.7,4.1,14.7,3.8,32.2,5.1,11.2,2.6,4.1,2.6,12.1,3.9,0,0.1,0.6884,0.7868,0.763,0.8175,3.0557,0.8204,0.0213,0.9435,0.3964,0.9036,2.2648,0.6672,0.9262,0.9198,1.846,0.9522,0.8845,0.8046,0.73,0.7783,0,3.1974,0.8543,0,0,0,0,0,0,1,0,1,2,1,1,2,0,0,0,0,0,0,4,4090,824,27.4,4.8,4986,16032.63883,13450401.45
1,13,701,25285.27166,77014,Houston,33924,37343,33388,TEXAS,Harris,"Census Tract 5504.02, Harris County, Texas",8.6957,0.7233,1.82022769,11568,1161,4064,83,3532,191,2155,750,233,119,20507,2154,1106,276,640,212,3307,777,966,396,778,249.1,11300,1174,750,289.1,1367,315.8,0,21,209,147.2,266,141,0,21,18.6,6.3,3.9,2,20507,2154,16.4,3.5,5.5,2,28.6,6.1,8.4,3.8,22,7,97.7,2.6,6.9,2.6,33.6,7.7,0,1,5.9,4.2,7.5,4,0,0.2,0.703,0.3138,0.7909,0.7191,2.5268,0.6743,0.0423,0.8593,0.1924,0.9542,2.0482,0.5208,0.9692,0.8132,1.7824,0.9231,0.8912,0,0.8217,0.6254,0,2.3383,0.5068,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2,2247,669,19.4,4.7,5102,15681.38076,6315731.89
1,13,705,25285.27166,77014,Houston,33924,37343,33388,TEXAS,Harris,"Census Tract 5506.03, Harris County, Texas",9.7128,0.8462,0.67151246,6406,545,1773,42,1648,90,1284,449,152,126,19333,2726,1353,319,340,52,1935,244,443,158,275,116.8,6202,558.9,1703,374.1,539,123.1,10,17,160,85.3,45,44,9,6,20.1,6.9,4.6,3.5,19333,2726,36.9,7.7,5.3,0.9,30.2,2.8,6.9,2.2,16.7,7,96.8,2.9,28.1,5.6,30.4,6.9,0.6,1,9.7,5.1,2.7,2.6,0.1,0.1,0.7374,0.4082,0.8262,0.9596,2.9314,0.7879,0.0384,0.905,0.1037,0.881,1.9281,0.4344,0.9596,0.9828,1.9424,0.9887,0.875,0.4741,0.9113,0.2714,0.3791,2.9109,0.7564,0,0,0,1,1,0,1,0,0,1,1,1,2,0,0,1,0,0,1,5,1666,413,26,6.3,2567,7186.572626,2319248.697
1,13,708,25285.27166,77014,Houston,33924,37343,33388,TEXAS,Harris,"Census Tract 5509, Harris County, Texas",8.8944,0.7484,1.22965224,9779,679,2752,88,2618,119,1325,690,489,222,17133,2014,1466,339,864,89,2895,512,1179,401,279,131.2,9081,739.1,1258,354.1,130,92.8,0,19,388,164.5,62,72,0,19,13.5,7,10.6,4.8,17133,2014,25.6,6.1,8.8,1.1,29.6,4.8,12.1,4.2,10.7,5,92.9,3.9,13.6,3.7,4.7,3.4,0,1.4,14.8,6.2,2.4,2.8,0,0.2,0.5528,0.8643,0.8838,0.883,3.1839,0.8525,0.1446,0.8895,0.4635,0.6767,2.1743,0.6083,0.9277,0.9103,1.838,0.9488,0.5022,0,0.9577,0.2383,0,1.6982,0.2449,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,3,2421,678,24.8,6.7,3014,8672.207333,4261633.356
1,13,710,25285.27166,77014,Houston,33924,37343,33388,TEXAS,Harris,"Census Tract 5511, Harris County, Texas",10.5154,0.9273,1.77973447,10894,1002,3742,89,3476,192,2386,755,476,217,20990,3028,1404,390,1137,206,3100,657,1186,322,525,178.4,10022,1058.8,1619,512.6,1564,310.2,0,21,477,197.8,307,175,89,98,22.1,6.8,8.7,3.8,20990,3028,21.1,5.6,10.4,1.8,28.5,5.4,11,3,15.1,5.1,92,4.8,16.1,4.9,41.8,8.2,0,1.1,13.7,5.6,8.8,5,0.8,0.9,0.7775,0.7868,0.7755,0.8175,3.1573,0.8458,0.2188,0.8559,0.3822,0.8427,2.2996,0.6889,0.9219,0.9304,1.8523,0.955,0.9221,0,0.9507,0.6798,0.6536,3.2062,0.857,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,4,2245,779,20.7,6.4,10224,10871.85085,6190780.571
1,13,711,25285.27166,77014,Houston,33924,37343,33388,TEXAS,Harris,"Census Tract 5512, Harris County, Texas",8.5694,0.7055,1.37836213,7718,759,2790,82,2672,136,1180,716,194,117,28101,4793,794,340,1015,186,2032,407,962,290,454,232.4,4715,1008.5,717,344.1,696,286,0,19,109,98.8,196,134,0,19,15.3,8.8,4.7,2.8,28101,4793,15.5,6.2,13.2,2.8,26.3,4.6,12.5,4,17,8.7,61.1,11.6,10.1,4.7,24.9,10.2,0,1.4,4.1,3.7,7.3,5,0,0.2,0.613,0.4219,0.5155,0.6954,2.2458,0.5904,0.374,0.7613,0.4933,0.8872,2.5158,0.8089,0.7516,0.8712,1.6228,0.8477,0.8393,0,0.73,0.6157,0,2.185,0.4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,458,20.6,6.1,7616,9769.880669,4767456.553
1,13,736,25285.27166,77014,Houston,33924,37343,33388,TEXAS,Harris,"Census Tract 5530.01, Harris County, Texas",6.6533,0.4137,1.80736393,5786,541,2285,29,2143,93,508,273,122,80,38773,3102,354,260,857,99,998,176,468,138,200,112.7,3292,657.1,373,368.8,364,134.2,42,66,3,21.5,61,72,35,19,8.8,4.4,3.5,2.3,38773,3102,8.5,5.9,14.8,2.3,17.2,2.6,8.1,2.4,9.3,5.2,56.9,10,6.8,6.7,15.9,5.9,1.8,2.9,0.1,1,2.8,3.3,0.6,0.3,0.3592,0.2583,0.2398,0.421,1.2783,0.2841,0.4709,0.1848,0.1728,0.5963,1.4248,0.1562,0.7262,0.811,1.5372,0.8065,0.7474,0.5951,0.1771,0.2821,0.6113,2.413,0.5389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,564,17.8,8.7,4564,10798.266,6334631.627
1,13,737,25285.27166,77014,Houston,33924,37343,33388,TEXAS,Harris,"Census Tract 5530.02, Harris County, Texas",7.9485,0.6153,1.75790966,4834,511,1838,31,1602,117,540,260,194,155,39554,5635,627,200,806,89,958,245,540,225,202,121.6,3609,567.1,701,261.4,423,129.6,0,13,55,63.3,70,76,0,13,11.3,5.3,7.8,5.9,39554,5635,18.6,5.1,16.7,2.7,19.8,4.6,11.2,4.6,12.6,7.5,74.7,8.7,15.4,5.5,23,7,0,2.1,3.4,3.9,4.4,4.6,0,0.3,0.4701,0.7332,0.2262,0.7698,2.1993,0.5764,0.5877,0.3232,0.3964,0.7629,2.0702,0.5366,0.8241,0.9255,1.7496,0.9078,0.824,0,0.675,0.4304,0,1.9294,0.3309,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,849,364,17.6,6.6,3631,11483.15658,6208190.663
1,31,49,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2226, Harris County, Texas",10.5548,0.9303,1.01193473,5109,485,2219,35,1981,104,1864,535,222,139,15126,3861,1068,219,348,103,1765,357,438,124,371,125.9,4954,493.1,1916,360.1,1590,179,0,19,288,97.7,376,124,0,19,36.5,8.8,9.1,5.4,15126,3861,35.1,7.3,6.8,2.2,34.5,6.2,8.6,2.6,18.7,6.3,97,2.9,43.1,7,71.7,8,0,1.8,14.5,4.9,19,6.1,0,0.4,0.9357,0.8068,0.9278,0.9524,3.6227,0.9544,0.0726,0.9715,0.2054,0.916,2.1655,0.6023,0.9616,0.9976,1.9592,0.9936,0.9744,0,0.9559,0.8771,0,2.8074,0.7139,1,0,1,1,3,0,1,0,1,2,1,1,2,1,0,1,0,0,2,9,2306,343,45.1,5.2,8390,9380.284502,3513765.52
1,31,50,43265.28328,77032,Houston,13151,14266,13626,TEXAS,Harris,"Census Tract 2227, Harris County, Texas",11.2401,0.9734,2.73416239,5773,458,2258,78,2131,108,2650,527,268,143,12093,1645,733,186,449,94,2317,325,909,218,782,164,5446,486.5,213,129.5,1113,208.9,9,15,96,69.3,482,134,0,19,45.9,8.1,11.9,6.2,12093,1645,26.5,6.7,7.8,1.7,40.1,4.6,15.7,4,36.7,7.5,94.3,3.9,4.2,2.5,49.3,9.1,0.4,0.6,4.5,3.2,22.6,6.3,0,0.3,0.9753,0.8991,0.9749,0.8929,3.7422,0.9768,0.1053,0.9947,0.6992,0.9971,2.7963,0.9199,0.9382,0.7272,1.6654,0.868,0.9417,0.436,0.7545,0.904,0,3.0362,0.8015,1,0,1,0,2,0,1,0,1,2,1,0,1,1,0,0,1,0,2,7,915,340,15.8,5.9,24820,20448.85159,9453725.657
