ZipCode,City,Pop2018,FYpop,Pop2019
77002,Houston,20729,22897,22953
77003,Houston,13696,15143,13794
77004,Houston,37747,40181,37705
77005,Houston,31183,33646,30451
77006,Houston,24690,27863,24403
77007,Houston,45673,53191,46142
77008,Houston,38563,43163,39150
77009,Houston,41656,43971,41502
77010,Houston,873,1040,522
77011,Houston,20353,21030,20801
77012,Houston,21695,22378,21505
77013,Houston,18711,20838,18678
77014,Houston,33924,37343,33388
77015,Houston,57152,60177,58586
77016,Houston,28468,29501,28639
77017,Houston,34274,35370,34092
77018,Houston,29143,31564,29054
77019,Houston,24982,27780,25311
77020,Houston,26985,27848,26840
77021,Houston,29583,31399,29258
77022,Houston,32073,33589,32191
77023,Houston,31149,32472,30583
77024,Houston,41656,45806,41399
77025,Houston,30364,33288,32070
77026,Houston,24204,25843,24226
77027,Houston,20384,23501,21260
77028,Houston,14696,18547,17899
77029,Houston,18432,18782,18238
77030,Houston,10770,12386,11125
77031,Houston,16605,17420,17043
77032,Houston,13151,14266,13626
77033,Houston,27677,28348,27400
77034,Houston,34111,36289,34536
77035,Houston,36612,38782,35917
77036,Houston,79004,82379,78227
77037,Houston,21049,22680,22488
77038,Houston,31363,33590,30272
77039,Houston,28518,29331,28620
77040,Houston,50152,53423,49866
77041,Houston,39356,40682,38827
77042,Houston,42310,44816,40684
77043,Houston,27274,29624,28404
77044,Houston,48325,56360,50413
77045,Houston,34341,36661,33852
77046,Houston,503,575,474
77047,Houston,27235,30327,27817
77048,Houston,17645,19004,17208
77049,Houston,36549,40866,38039
77050,Houston,5304,5636,5152
77051,Houston,17774,18800,17670
77053,Houston,32237,34698,32530
77054,Houston,27953,30551,27236
77055,Houston,48303,52301,47809
77056,Houston,27195,30656,26174
77057,Houston,42026,44956,43005
77058,Houston,16013,17104,15930
77059,Houston,18123,19270,19319
77060,Houston,43909,45658,42401
77061,Houston,26446,27669,25946
77062,Houston,27609,28215,26981
77063,Houston,38524,41789,40169
77064,Houston,49498,51911,48709
77065,Houston,38472,40394,38418
77066,Houston,36442,38429,35489
77067,Houston,31391,32463,31527
77068,Houston,12684,13499,12696
77069,Houston,17462,18479,18103
77070,Houston,54515,58111,52604
77071,Houston,28211,29781,28612
77072,Houston,58310,60001,56825
77073,Houston,48726,55405,45315
77074,Houston,42189,44757,41824
77075,Houston,43962,47844,44258
77076,Houston,37157,38874,35983
77077,Houston,61249,67449,60854
77078,Houston,11843,15984,15206
77079,Houston,38159,42424,38121
77080,Houston,50829,53434,50791
77081,Houston,50742,53402,50171
77082,Houston,57894,62085,58476
77083,Houston,77742,83356,76909
77084,Houston,110167,121112,110665
77085,Houston,18368,19511,18277
77086,Houston,29900,31217,30027
77087,Houston,38006,38996,37639
77088,Houston,54680,57469,54641
77089,Houston,50747,55522,51634
77090,Houston,37130,40406,36889
77091,Houston,25334,26793,25802
77092,Houston,36315,37730,36248
77093,Houston,50669,52886,50058
77094,Houston,12336,13798,11782
77095,Houston,69988,73579,69161
77096,Houston,34422,36872,34993
77098,Houston,16137,18256,16024
77099,Houston,48431,50449,49829
77204,Houston,0,0,0
77225,Houston,892,1002,813
65483,Houston,4732,4736,4964
72070,Houston,2083,2021,2013
38851,Houston,8698,8650,8595
35572,Houston,1024,1020,999
55943,Houston,3248,3359,3259
45333,Houston,1484,1479,1509
15342,Houston,4674,4755,4851
19954,Houston,1857,1949,1824
