OBJECTID,From_ID,To_ID,NearRank,From_OBJECTID,From_ZIP,From_TotalConfirmedCases,From_ActiveCases,From_Recovered,From_Death,From_EditDate,From_Shape_STArea__,From_Shape_STLength__,From_Shape__Area,From_Shape__Length,To_Name,To_ADDRNO,To_PREFIX,To_STNAME,To_STTYPE,To_SUFFIX,To_CITY,To_ZIP,To_ADMIN,Total_Miles
1,1,12,1,224,77002,979,71,900,8,11/17/2020 4:00 PM,0.00051663,0.21598981,0.00051663,0.21598982,CHRISTUS ST JOSEPH HOSPITAL,1919, ,LA BRANCH, , ,HOUSTON,77002,2,0.0
2,1,92,1,224,77002,979,71,900,8,11/17/2020 4:00 PM,0.00051663,0.21598981,0.00051663,0.21598982,DUBUIS HOSPITAL FOR CONTINUING CARE,1919, ,LA BRANCH, , ,HOUSTON,77002,2,0.0
3,2,92,1,217,77010,14,1,13,0,11/17/2020 4:00 PM,2.859e-05,0.0286829,2.859e-05,0.0286829,DUBUIS HOSPITAL FOR CONTINUING CARE,1919, ,LA BRANCH, , ,HOUSTON,77002,2,0.42682615
4,2,12,2,217,77010,14,1,13,0,11/17/2020 4:00 PM,2.859e-05,0.0286829,2.859e-05,0.0286829,CHRISTUS ST JOSEPH HOSPITAL,1919, ,LA BRANCH, , ,HOUSTON,77002,2,0.43578699
5,3,59,1,53,77014,1198,106,1076,16,11/17/2020 4:00 PM,0.00159942,0.23498185,0.00159942,0.23498186,CHAMPIONS PSYCHIATRIC CENTER,14320, ,WALTERS,RD, , ,77014,2,0.0
6,3,95,2,53,77014,1198,106,1076,16,11/17/2020 4:00 PM,0.00159942,0.23498185,0.00159942,0.23498186,THE BREAST CENTER,710, ,F M 1960, ,W,HOSTON,77090,2,1.62319115
7,4,32,1,219,77021,1019,76,924,19,11/17/2020 4:00 PM,0.00141834,0.19257492,0.00141834,0.19257492,HARRIS CO. PSYCHIATRIC CENTER,2800,S,MACGREGOR,WAY, ,HOUSTON,77021,2,0.0
8,4,31,2,219,77021,1019,76,924,19,11/17/2020 4:00 PM,0.00141834,0.19257492,0.00141834,0.19257492,VETERANS AFFAIRS HOSPITAL,2002, ,HOLCOMBE, , ,HOUSTON,77054,2,0.2117117
9,5,11,1,215,77027,485,63,419,3,11/17/2020 4:00 PM,0.00067616,0.15163491,0.00067616,0.15163491,TWELVE OAKS HOSPITAL / BAYOU CITY MEDICAL CENTER,4200, ,PORTSMOUTH, , ,HOUSTON,77027,2,0.0
10,5,108,1,215,77027,485,63,419,3,11/17/2020 4:00 PM,0.00067616,0.15163491,0.00067616,0.15163491,HOUSTON DAY HOSPITAL,4665, ,SOUTHWEST FRWY, , ,HOUSTON,77027,2,0.0
11,6,70,1,79,77032,859,24,823,12,11/17/2020 4:00 PM,0.00508101,0.35712366,0.00508101,0.35712367,HEALTH SOUTH REHABILITATION HOSPITAL OF HUMBLE,19002, ,MC KAY,DR, ,HUMBLE,77338,2,1.86738432
